subject,Language,Presentation_type,object to be labeled,label,color,other_adj,same_noun,presentation_order
13,English,1 at a time,green apple,Green Granny Smith Apple,N,Y,Y,2
13,English,1 at a time,blue basket,Small Blue Basket,N,Y,Y,1
13,English,1 at a time,red basket,Small Red Basket,N,Y,Y,2
13,English,1 at a time,yellow banana,Banana,N,N,Y,1
13,English,1 at a time,green banana,Slightly Ripe Banana,N,Y,Y,2
13,English,1 at a time,yellow rope,Twisted Yellow String,Y,Y,Y,1
13,English,1 at a time,red rope,Red Twisted String,Y,Y,Y,2
13,English,1 at a time,yellow tomato,Yellow Tomato,Y,N,Y,1
13,English,1 at a time,red tomato,Small Red Tomato,Y,Y,Y,2
15,English,1 at a time,blue cup,Cup,N,N,Y,1
15,English,1 at a time,red cup,Red Cup,Y,N,Y,2
15,English,1 at a time,red pepper,Bell Pepper,N,N,Y,1
15,English,1 at a time,green pepper,Red Pepper,Y,N,Y,2
15,English,1 at a time,pink comb,Pink Comb,Y,N,Y,1
15,English,1 at a time,yellow comb,Comb,N,N,Y,2
15,English,1 at a time,red apple,Apple,N,N,Y,1
15,English,1 at a time,green apple,Granny Smith Apple,N,Y,Y,2
15,English,1 at a time,blue basket,Mini blue basket,Y,Y,Y,1
15,English,1 at a time,red basket,Red Basket,Y,N,Y,2
15,English,1 at a time,yellow banana,Banana,N,N,N,1
15,English,1 at a time,green banana,Plantain,N,N,N,2
15,English,1 at a time,yellow rope,Yellow Rope,Y,N,Y,1
15,English,1 at a time,red rope,Fuschia Rope,Y,N,Y,2
15,English,1 at a time,yellow tomato,Tomato,N,N,Y,1
15,English,1 at a time,red tomato,Tomato,N,N,Y,2
21,English,1 at a time,blue cup,Cup,N,N,Y,1
21,English,1 at a time,red cup,Cup,N,N,Y,2
21,English,1 at a time,pink comb,Sculpting Tool,N,N,N,1
21,English,1 at a time,yellow comb,Comb,N,N,N,2
21,English,1 at a time,red apple,Apple,N,N,Y,1
21,English,1 at a time,green apple,Apple,N,N,Y,2
21,English,1 at a time,blue basket,Basket,N,N,Y,1
21,English,1 at a time,red basket,Basket,N,N,Y,2
21,English,1 at a time,yellow banana,banana,N,N,Y,1
21,English,1 at a time,green banana,Banana,N,N,Y,2
21,English,1 at a time,yellow rope,Rope,N,N,Y,1
21,English,1 at a time,red rope,Rope,N,N,Y,2
21,English,1 at a time,yellow tomato,Tomato,N,N,Y,1
21,English,1 at a time,red tomato,Tomato,N,N,Y,2
23,English,1 at a time,blue cup,Cup,N,N,Y,1
23,English,1 at a time,red cup,Cup red cup,Y,N,Y,2
23,English,1 at a time,pink comb,Comb,N,N,Y,1
23,English,1 at a time,yellow comb,Comb yellow comb,Y,N,Y,2
23,English,1 at a time,red apple,Red apple,Y,N,Y,1
23,English,1 at a time,green apple,Green apple,Y,N,Y,2
23,English,1 at a time,blue basket,small basket,N,Y,Y,1
23,English,1 at a time,red basket,Small basket,N,Y,Y,2
23,English,1 at a time,yellow banana,Banana,N,N,Y,1
23,English,1 at a time,green banana,"Banana, rotten",N,Y,Y,2
23,English,1 at a time,yellow rope,Length of cord,N,N,Y,1
23,English,1 at a time,red rope,length of red cord,Y,N,Y,2
23,English,1 at a time,yellow tomato,yellow tomato,Y,N,Y,1
23,English,1 at a time,red tomato,another tomato,N,N,Y,2
25,English,1 at a time,blue cup,Cup,N,N,Y,1
25,English,1 at a time,red cup,Red cup,Y,N,Y,2
25,English,1 at a time,red pepper,large red pepper,Y,Y,Y,1
25,English,1 at a time,green pepper,large green pepper,Y,Y,Y,2
25,English,1 at a time,pink comb,double sided comb,N,Y,Y,1
