Row,Column,R,G,B
H,39,100,23,78
H,40,102,20,72
A,0,234,230,246
B,0,225,222,238
C,0,208,204,221
D,0,188,184,201
E,0,164,158,177
F,0,138,131,147
G,0,109,104,117
H,0,83,78,88
I,0,62,57,66
J,0,51,46,54
