subject,grid_location,color,Experiment
8,F17,8,4
8,B9,5,5
8,D7,5,6
8,C20,11,7
8,D9,5,8
8,C14,5,9
8,D1,11,10
8,C8,5,11
8,D5,7,12
8,C4,9,13
8,G10,5,14
8,A4,2,15
8,E10,5,16
8,H15,4,17
8,A6,6,18
8,D17,8,19
8,H11,5,20
8,C2,9,21
8,G12,5,22
8,B2,11,23
8,B13,12,24
8,C3,9,25
8,B5,6,26
8,F11,5,27
8,A14,2,28
8,C16,8,29
8,B3,11,30
8,E2,9,31
8,E4,10,32
8,F9,5,33
8,B1,11,34
8,F19,8,35
8,A12,12,36
8,B15,12,37
8,G17,8,38
8,H9,5,39
8,A16,2,40
8,H7,5,41
8,D3,9,42
8,E20,11,43
8,F1,3,44
8,F5,5,45
8,G16,8,46
8,E16,8,47
8,D19,11,48
8,E12,12,49
8,C10,5,50
8,D13,12,51
8,G6,5,52
8,G2,3,53
8,B19,11,54
8,G8,5,55
8,H1,8,56
8,F7,5,57
8,E14,12,58
8,H13,4,59
8,G18,8,60
8,E8,5,61
8,G4,10,62
8,A10,2,63
8,F3,9,64
8,A8,5,65
8,G14,12,66
8,A18,2,67
8,C18,9,68
8,B11,12,69
8,H5,1,70
8,C6,6,71
8,C12,12,72
8,H19,8,73
8,B7,5,74
8,F15,12,75
8,A20,2,76
8,F13,12,77
8,H17,8,78
8,H3,10,79
8,B17,8,80
8,D15,12,81
8,G20,11,82
8,E6,5,83
9,D9,5,1
9,C4,9,2
9,E10,5,3
9,D17,8,4
9,G12,4,5
9,G10,5,6
9,H15,4,7
9,H11,5,8
9,A2,11,9
9,F17,8,10
9,D11,5,11
9,B9,5,12
9,B2,11,13
9,A4,11,14
9,A6,6,15
9,F19,8,16
9,F9,5,17
9,A18,2,18
9,H17,8,19
9,F5,10,20
9,D19,11,21
9,A12,12,22
9,H3,10,23
9,B17,8,24
9,E2,3,25
9,B1,11,26
9,B5,6,27
9,F11,12,28
9,H5,10,29
9,H19,8,30
9,A20,2,31
9,B3,9,32
9,D15,12,33
9,C18,8,34
9,C6,10,35
9,G8,5,36
9,G14,4,37
9,B11,5,38
9,B15,12,39
9,F1,3,40
9,E16,8,41
9,E14,12,42
9,F7,5,43
9,G18,8,44
9,A10,12,45
9,B13,12,46
9,C12,12,47
9,F15,12,48
9,E6,10,49
9,C3,9,50
9,A14,2,51
9,C16,8,52
9,E4,10,53
9,H1,8,54
9,G20,8,55
9,C8,5,56
9,E18,8,57
9,D7,5,58
9,C14,12,59
9,D5,10,60
9,C2,11,61
9,H13,4,62
9,G4,10,63
9,D13,12,64
9,E8,5,65
9,C10,12,66
9,G2,3,67
9,H9,5,68
9,D3,9,69
9,G17,8,70
9,H7,1,71
9,B19,11,72
9,E12,12,73
9,B7,5,74
9,G6,10,75
9,A16,2,76
9,E20,11,77
9,G6,8,78
9,F13,12,79
9,F3,10,80
9,A8,5,81
9,C20,11,82
9,D1,11,83
10,A12,12,1
10,A18,11,2
10,D19,11,3
10,B17,8,4
10,B5,6,5
10,A2,11,6
10,B9,5,7
10,H19,8,8
10,D15,12,9
10,G10,5,10
10,F19,11,11
10,H17,8,12
10,A8,5,13
10,F13,12,14
10,C20,11,15
10,B7,5,16
10,E20,3,17
10,D3,9,18
10,B19,11,19
10,E2,9,20
10,A6,5,21
10,E8,5,22
10,H9,5,23
10,H7,7,24
10,G4,10,25
10,C10,12,26
10,E12,12,27
10,A16,2,28
10,H3,7,29
10,F3,10,30
10,D1,11,31
10,G6,5,32
10,G16,8,33
10,C2,11,34
10,D13,12,35
10,F15,4,36
10,A14,12,37
10,H1,7,38
10,E18,8,39
10,D5,6,40
10,H5,10,41
10,G2,3,42
10,C18,11,43
10,G14,12,44
10,F1,3,45
10,F7,5,46
10,C16,6,47
10,C3,9,48
10,E4,10,49
10,C8,5,50
10,C14,12,51
10,G17,8,52
10,H13,5,53
10,B1,11,54
10,B2,11,55
10,C4,9,56
10,B11,12,57
10,E16,8,58
10,G18,8,59
10,G8,5,60
10,B15,12,61
10,D9,5,62
10,F9,5,63
10,F5,10,64
10,D17,9,65
10,H15,4,66
10,F17,8,67
10,E14,12,68
10,A10,12,69
10,B13,12,70
10,E6,5,71
10,C16,8,72
10,G20,11,73
10,D7,5,74
10,C12,12,75
10,G12,5,76
10,H11,5,77
10,D11,5,78
10,A4,2,79
10,E10,5,80
10,B3,11,81
10,F11,5,82
10,A20,11,83
11,E18,8,1
11,G2,3,2
11,D13,12,3
11,H1,7,4
11,H5,10,5
11,G14,12,6
11,D9,5,7
11,B15,12,8
11,F5,10,9
11,D7,5,10
11,H11,5,11
11,E10,5,12
11,F11,5,13
11,C10,5,14
11,H3,3,15
11,G6,5,16
11,H7,5,17
11,A6,6,18
11,F19,11,19
11,D19,11,20
11,A2,2,21
11,C18,11,22
11,F7,5,23
11,C6,6,24
11,F15,12,25
11,E8,5,26
11,G4,10,27
11,A16,2,28
11,D1,11,29
11,H9,5,30
11,B13,12,31
11,D17,8,32
11,E14,12,33
11,D5,6,34
11,F3,10,35
11,G16,8,36
11,D15,12,37
11,C2,8,38
11,A14,2,39
11,A12,5,40
11,B17,7,41
11,B9,5,42
11,G10,5,43
11,A18,2,44
11,B5,6,45
11,E12,5,46
11,F17,8,47
11,E2,9,48
11,C20,11,49
11,F1,3,50
11,C3,9,51
11,G20,3,52
11,G12,5,53
11,H15,4,54
11,A10,2,55
11,C12,12,56
11,D11,12,57
11,B3,10,58
11,E6,5,59
11,F9,5,60
11,C16,8,61
11,A4,2,62
11,H19,8,63
11,B7,5,64
11,B19,8,65
11,F13,12,66
11,E20,11,67
11,C8,5,68
11,H13,4,69
11,C4,6,70
11,G18,8,71
11,E4,9,72
11,G17,8,73
11,B2,10,74
11,E16,8,75
11,C14,12,76
11,B1,11,77
11,B11,5,78
11,G8,5,79
11,H17,8,80
11,A8,5,81
11,A20,2,82
11,D3,9,83
12,B2,11,1
12,B1,11,2
12,G8,5,3
12,A20,2,4
12,H9,5,5
12,E14,12,6
12,G16,8,7
12,H17,8,8
12,E16,8,9
12,B11,12,10
12,A8,12,11
12,D3,9,12
12,C14,12,13
12,A4,7,14
12,B19,11,15
12,C8,5,16
12,G18,8,17
12,H19,8,18
12,F13,12,19
12,H13,12,20
12,G17,8,21
12,F1,3,22
12,G12,5,23
12,C12,12,24
12,E6,6,25
12,C3,9,26
12,H15,4,27
12,D11,12,28
12,F9,5,29
12,G20,11,30
12,A10,12,31
12,B3,11,32
12,C16,8,33
12,H7,1,34
12,D19,11,35
12,E10,12,36
12,H3,10,37
12,D7,5,38
12,F11,12,39
12,G6,10,40
12,F19,11,41
12,H11,5,42
12,C10,12,43
12,A6,6,44
12,A2,11,45
12,C2,9,46
12,B17,8,47
12,A18,2,48
12,F17,8,49
12,A14,12,50
12,B9,12,51
12,B5,6,52
12,E2,9,53
12,A12,12,54
12,G10,5,55
12,E12,5,56
12,C20,11,57
12,C18,8,58
12,F15,4,59
12,A16,2,60
12,B13,12,61
12,D5,6,62
12,D15,12,63
12,F7,5,64
12,E8,5,65
12,D1,11,66
12,D17,8,67
12,F3,10,68
12,C6,6,69
12,E18,11,70
12,H1,8,71
12,D9,12,72
12,G2,3,73
12,H5,1,74
12,B15,12,75
12,D15,12,76
12,G14,4,77
12,F5,10,78
12,E4,6,79
12,B7,5,80
12,E20,11,81
12,C4,6,82
12,G4,10,83
13,C18,11,1
13,F15,4,2
13,D5,6,3
13,E8,5,4
13,F3,10,5
13,C20,11,6
13,A16,2,7
13,G10,5,8
13,B13,12,9
13,F7,5,10
13,D17,8,11
13,E12,12,12
13,H1,3,13
13,H5,10,14
13,G14,4,15
13,B7,5,16
13,C4,9,17
13,G4,10,18
13,D15,12,19
13,D1,11,20
13,C6,6,21
13,D11,12,22
13,A10,2,23
13,H7,10,24
13,F11,5,25
13,F9,5,26
13,B3,11,27
13,D19,11,28
13,D7,5,29
13,H3,10,30
13,E18,11,31
13,G2,3,32
13,D13,4,33
13,E4,10,34
13,D9,5,35
13,B15,12,36
13,F5,10,37
13,E20,11,38
13,G20,3,39
13,D3,9,40
13,B19,11,41
13,A20,2,42
13,G16,8,43
13,B11,12,44
13,C14,12,45
13,B1,11,46
13,B2,11,47
13,A8,5,48
13,A4,11,49
13,G8,5,50
13,E14,4,51
13,E16,8,52
13,H9,5,53
13,H17,8,54
13,C16,8,55
13,E10,5,56
13,G6,5,57
13,C8,5,58
13,F13,4,59
13,G12,5,60
13,C3,9,61
13,H19,8,62
13,G17,8,63
13,F1,3,64
13,E6,5,65
13,G18,8,66
13,H13,5,67
13,C12,12,68
13,C10,5,69
13,B17,8,70
13,C2,11,71
13,F19,3,72
13,A6,6,73
13,H11,5,74
13,A2,2,75
13,A18,2,76
13,B5,6,77
13,B9,5,78
13,A14,12,79
13,E2,9,80
13,A12,12,81
13,F17,8,82
13,H15,4,83
14,E4,6,1
14,F5,5,2
14,D3,9,3
14,G16,8,4
14,D9,5,5
14,E20,11,6
14,B19,11,7
14,B11,5,8
14,B15,12,9
14,G20,11,10
14,A20,2,11
14,C14,12,12
14,H1,10,13
14,B7,5,14
14,D15,5,15
14,H5,5,16
14,C4,6,17
14,D1,11,18
14,G14,4,19
14,G4,10,20
14,C6,5,21
14,D11,5,22
14,F11,5,23
14,D19,11,24
14,E18,8,25
14,A10,5,26
14,F9,5,27
14,D7,5,28
14,G2,3,29
14,H7,1,30
14,B3,9,31
14,H3,10,32
14,G12,5,33
14,G17,8,34
14,G18,8,35
14,C8,5,36
14,C3,9,37
14,F1,3,38
14,H13,4,39
14,F13,4,40
14,H19,8,41
14,H17,8,42
14,C12,5,43
14,B1,11,44
14,A4,6,45
14,E16,8,46
14,C16,8,47
14,B2,11,48
14,G8,5,49
14,H9,5,50
14,E10,5,51
14,A8,5,52
14,E14,12,53
14,G6,10,54
14,C18,11,55
14,E8,5,56
14,A16,2,57
14,F7,5,58
14,F15,4,59
14,F3,10,60
14,G10,5,61
14,D17,8,62
14,D5,7,63
14,C20,11,64
14,B13,12,65
14,E12,5,66
14,D13,12,67
14,A12,2,68
14,F17,8,69
14,H15,4,70
14,C10,5,71
14,F19,11,72
14,A2,2,73
14,E6,5,74
14,B9,5,75
14,B17,8,76
14,A6,6,77
14,A18,2,78
14,A14,2,79
14,C2,9,80
14,H11,5,81
14,B5,6,82
14,E2,3,83
15,B15,12,1
15,C14,12,2
15,B11,5,3
15,A20,2,4
15,D3,9,5
15,E20,11,6
15,E4,6,7
15,G16,8,8
15,B19,12,9
15,G20,3,10
15,F5,5,11
15,D9,5,12
15,B17,2,13
15,A14,12,14
15,B5,6,15
15,A6,6,16
15,C2,11,17
15,E2,3,18
15,A18,2,19
15,H11,5,20
15,C3,9,21
15,F13,12,22
15,C12,12,23
15,E16,8,24
15,F1,3,25
15,H19,8,26
15,B1,11,27
15,C16,8,28
15,H13,5,29
15,H17,8,30
15,A4,6,31
15,B2,11,32
15,E18,8,33
15,D7,5,34
15,B3,9,35
15,G17,8,36
15,A10,12,37
15,G2,10,38
15,H3,10,39
15,G18,8,40
15,F9,5,41
15,H7,5,42
15,G12,4,43
15,C8,5,44
15,C20,11,45
15,D13,12,46
15,H15,4,47
15,A2,2,48
15,B13,12,49
15,A12,12,50
15,C10,5,51
15,E6,5,52
15,E12,4,53
15,F17,8,54
15,F19,11,55
15,B9,5,56
15,G8,5,57
15,A8,12,58
15,C18,12,59
15,F7,5,60
15,G10,5,61
15,H9,5,62
15,E14,4,63
15,E8,5,64
15,F15,4,65
15,D17,8,66
15,E10,5,67
15,G6,5,68
15,A16,2,69
15,F13,10,70
15,D5,10,71
15,H1,3,72
15,H5,1,73
15,G14,4,74
15,D15,12,75
15,D1,11,76
15,C6,5,77
15,D11,12,78
15,B7,5,79
15,C4,9,80
15,G4,10,81
15,F11,5,82
15,D19,11,83
16,G10,5,1
16,E8,5,2
16,E10,12,3
16,F3,10,4
16,H9,5,5
16,F15,12,6
16,G6,10,7
16,D5,6,8
16,E14,12,9
16,D17,8,10
16,A16,2,11
16,C12,12,12
16,H19,8,13
16,E2,3,14
16,C3,9,15
16,E16,8,16
16,B1,11,17
16,A6,6,18
16,A18,2,19
16,F1,3,20
16,C16,8,21
16,F13,12,22
16,H13,4,23
16,H17,8,24
16,C2,11,25
16,H11,5,26
16,D13,12,27
16,B13,12,28
16,E6,5,29
16,F19,11,30
16,A8,5,31
16,H15,4,32
16,A12,12,33
16,E12,4,34
16,B9,12,35
16,C18,8,36
16,A2,11,37
16,C10,12,38
16,F17,8,39
16,G8,5,40
16,F7,5,41
16,A4,6,42
16,D7,5,43
16,A10,5,44
16,G18,8,45
16,G12,4,46
16,B2,11,47
16,B3,11,48
16,G2,3,49
16,F9,5,50
16,C8,5,51
16,E18,8,52
16,G17,8,53
16,H13,10,54
16,H7,5,55
16,H1,3,56
16,D15,12,57
16,D11,5,58
16,G4,10,59
16,H5,10,60
16,D1,11,61
16,B7,5,62
16,F11,12,63
16,G14,4,64
16,C6,6,65
16,C4,6,66
16,D19,11,67
16,C20,11,68
16,B15,12,69
16,A20,11,70
16,E4,10,71
16,G20,3,72
16,B17,8,73
16,C14,12,74
16,D3,6,75
16,G16,8,76
16,F5,5,77
16,A14,12,78
16,B11,12,79
16,E20,2,80
16,B19,8,81
16,D9,5,82
16,B5,6,83
17,F5,10,1
17,G4,10,2
17,B7,5,3
17,B11,12,4
17,D9,5,5
17,E20,11,6
17,B5,6,7
17,B15,4,8
17,G20,3,9
17,D3,9,10
17,A20,2,11
17,B17,8,12
17,G16,4,13
17,E4,10,14
17,C14,12,15
17,D1,3,16
17,E6,5,17
17,C16,8,18
17,D13,12,19
17,F13,4,20
17,H17,8,21
17,H7,5,22
17,D11,12,23
17,H1,3,24
17,G14,4,25
17,D19,11,26
17,C6,6,27
17,A18,2,28
17,C4,9,29
17,C2,11,30
17,B13,12,31
17,F1,3,32
17,H13,4,33
17,H11,5,34
17,G17,8,35
17,G18,8,36
17,B3,8,37
17,C8,5,38
17,H3,10,39
17,A14,2,40
17,D19,11,41
17,F19,11,42
17,C20,11,43
17,D15,12,44
17,H5,2,45
17,F11,5,46
17,G12,5,47
17,G2,3,48
17,E18,8,49
17,B2,9,50
17,H15,4,51
17,B9,5,52
17,C10,5,53
17,F7,5,54
17,A12,2,55
17,C18,8,56
17,F17,8,57
17,A4,9,58
17,A10,2,59
17,E2,9,60
17,B1,11,61
17,G10,5,62
17,F3,10,63
17,G6,5,64
17,D17,8,65
17,H19,8,66
17,E16,8,67
17,A8,5,68
17,E12,12,69
17,A2,2,70
17,G8,5,71
17,D7,5,72
17,E10,5,73
17,F15,4,74
17,E14,12,75
17,C12,12,76
17,C3,9,77
17,A6,6,78
17,E8,5,79
17,H9,1,80
17,D5,9,81
17,A16,2,82
17,F9,5,83
18,E20,11,1
18,G20,8,2
18,B17,2,3
18,C14,12,4
18,C16,8,5
18,E18,8,6
18,B19,11,7
18,D15,12,8
18,H15,4,9
18,C8,5,10
18,F19,11,11
18,H5,5,12
18,A12,2,13
18,A4,7,14
18,G10,5,15
18,D17,8,16
18,A8,5,17
18,F7,5,18
18,B3,9,19
18,F5,5,20
18,D1,11,21
18,D13,12,22
18,H7,1,23
18,C4,9,24
18,F1,3,25
18,G12,4,26
18,B2,11,27
18,F9,5,28
18,E2,3,29
18,B1,11,30
18,G6,5,31
18,D11,12,32
18,D19,11,33
18,H11,5,34
18,A18,2,35
18,B13,12,36
18,E16,8,37
18,E10,5,38
18,A20,2,39
18,E4,7,40
18,B7,5,41
18,F13,12,42
18,C20,11,43
18,C10,5,44
18,C18,8,45
18,B9,5,46
18,B11,12,47
18,B5,6,48
18,F11,5,49
18,D3,9,50
18,H17,8,51
18,H1,3,52
18,A10,2,53
18,C6,6,54
18,F3,7,55
18,C2,11,56
18,H13,4,57
18,G18,8,58
18,G8,5,59
18,H3,10,60
18,G2,3,61
18,E8,5,62
18,A16,2,63
18,G17,8,64
18,G16,8,65
18,G4,7,66
18,D9,5,67
18,B15,12,68
18,G14,4,69
18,E6,5,70
18,A2,2,71
18,F17,8,72
18,E12,12,73
18,D7,5,74
18,F15,4,75
18,C3,9,76
18,C12,12,77
18,H19,8,78
18,E14,12,79
18,A6,2,80
18,D5,7,81
18,H9,5,82
18,A14,2,83
19,C20,11,1
19,H17,8,2
19,C6,6,3
19,B9,5,4
19,F11,5,5
19,D15,12,6
19,D19,11,7
19,B13,12,8
19,A20,2,9
19,F13,5,10
19,H11,5,11
19,E16,8,12
19,E4,10,13
19,D11,5,14
19,H9,5,15
19,D5,6,16
19,A2,2,17
19,D7,5,18
19,C12,12,19
19,G14,4,20
19,F15,4,21
19,H19,8,22
19,E6,5,23
19,A18,2,24
19,C10,5,25
19,B11,5,26
19,D3,9,27
19,A10,2,28
19,C18,9,29
19,B5,6,30
19,E12,5,31
19,C3,9,32
19,E14,12,33
19,B2,9,34
19,B1,11,35
19,D13,12,36
19,F1,3,37
19,F9,5,38
19,G6,5,39
19,H1,9,40
19,F3,10,41
19,F5,5,42
19,H7,1,43
19,G12,5,44
19,E2,9,45
19,D1,11,46
19,C4,6,47
19,A14,2,48
19,A6,6,49
19,B15,12,50
19,E18,8,51
19,E20,11,52
19,C14,12,53
19,B19,11,54
