subject,Language,thing,color,
9,Spanish,focal purple / violet,H16,
9,Spanish,focal orange,D3,
9,Spanish,focal brown,H4,
9,Spanish,focal pink,D1,
9,Spanish,focal celeste,E14,
10,Spanish,cloud,2,
10,Spanish,dirt,10,
10,Spanish,grass / leaf,5,
10,Spanish,hair,1,
10,Spanish,teeth,2,
10,Spanish,rice,2,
10,Spanish,unripe bananas,5,
10,Spanish,ripe banana,6,
10,Spanish,sky,12,
10,Spanish,corn,2,
10,Spanish,yuca (inside),2,
10,Spanish,yuca (outside),10,
10,Spanish,blood,3,
10,Spanish,fire,6,
10,Spanish,carrot,9,
10,Spanish,tomato,9,
10,Spanish,focal red,F1,
10,Spanish,focal blue,G14,
10,Spanish,focal green,F9,
10,Spanish,focal yellow,B6,
10,Spanish,focal grey,,
10,Spanish,focal purple / violet,G17,
10,Spanish,focal orange,D3,
10,Spanish,focal brown,H3,
10,Spanish,focal pink,C19,
10,Spanish,focal celeste,D13,
11,Spanish,cloud,2,
11,Spanish,dirt,10,
11,Spanish,grass / leaf,5,
11,Spanish,hair,1,
11,Spanish,teeth,2,
11,Spanish,rice,2,
11,Spanish,unripe bananas,6,
11,Spanish,ripe banana,6,
11,Spanish,sky,4,
11,Spanish,corn,6,
11,Spanish,yuca (inside),2,
11,Spanish,yuca (outside),10,
11,Spanish,blood,3,
11,Spanish,fire,6,
11,Spanish,carrot,9,
11,Spanish,tomato,3,
11,Spanish,focal red,F1,
11,Spanish,focal blue,H15,
11,Spanish,focal green,H10,
11,Spanish,focal yellow,B4,
11,Spanish,focal grey,,
11,Spanish,focal purple / violet,H16,
11,Spanish,focal orange,D3,
11,Spanish,focal brown,H3,
11,Spanish,focal pink,D1,
11,Spanish,focal celeste,H15,
12,Spanish,cloud,12,
12,Spanish,dirt,10,
12,Spanish,grass / leaf,5,
12,Spanish,hair,1,
12,Spanish,teeth,2,
12,Spanish,rice,2,
12,Spanish,unripe bananas,5,
12,Spanish,ripe banana,6,
12,Spanish,sky,4,
12,Spanish,corn,2,
12,Spanish,yuca (inside),2,
12,Spanish,yuca (outside),10,
12,Spanish,blood,3,
12,Spanish,fire,6,
12,Spanish,carrot,9,
12,Spanish,tomato,3,
12,Spanish,focal red,F1,
12,Spanish,focal blue,H15,
12,Spanish,focal green,H9,
12,Spanish,focal yellow,B5,
12,Spanish,focal grey,,
12,Spanish,focal purple / violet,H16,
12,Spanish,focal orange,E2,
12,Spanish,focal brown,H4,
