subject,order,color_object label,response,Rashida Time,Isabel Time,Native_speaker,
2027,4,banana,banana,0.96,0.97,Y,
2027,5,stick,piece of bamboo,3.8,3.5,Y,
2027,6,comb,comb,1.83,1.97,Y,
2027,7,fan,fan,2.48,2.91,Y,
2027,8,rock,rock,1.35,1.34,Y,
2027,1,F5,5,2.74,2.82,Y,
2027,2,B4,6,3.3,1.71,Y,
2027,3,H9,teal,2.25,2.23,Y,
2027,4,H7,7,1.78,1.88,Y,
2027,5,F9,seafoam 5,3.72,3.66,Y,
2027,6,H17,light 8,2.36,2.15,Y,
2027,7,B13,light 4,2.7,2.69,Y,
2027,8,G4,10,3.21,3.07,Y,
2027,9,F1,rose,5.1,4.86,Y,
2028,1,banana,banana,0.95,1.2,Y,
2028,2,cup,cup,0.75,1.52,Y,
2028,3,tomato,tomato,1.04,0.76,Y,
2028,4,rock,rock,1.8,1.88,Y,
2028,5,leaf,leaf,2.18,1.92,Y,
2028,6,comb,comb,2.42,3.5,Y,
2028,7,fan,fan,1.9,2.24,Y,
2028,8,stick,flute or stick,6.56,6.65,Y,
2028,1,F17,8,1.2,0.97,Y,
2028,2,A16,2,1.05,1.05,Y,
2028,3,D5,mustard,2.09,2.19,Y,
2028,4,G14,4,1.22,1.47,Y,
2028,5,B1,11,1.46,1.4,Y,
2028,6,F13,4,1.91,1.85,Y,
2028,7,F1,3,1.39,1.65,Y,
2028,8,G4,7,3.13,2.95,Y,
2028,9,H17,8,3.52,3.54,Y,
2028,10,F9,5,3.43,3.2,Y,
2028,11,H7,7,1.96,2.01,Y,
2028,12,H9,dark 5,4.96,5.14,Y,
2028,13,B13,light 4,2.6,2.39,Y,
2028,14,B4,6,1.83,1.59,Y,
2028,15,F5,10,2.52,2.64,Y,
2029,1,cup,red cup,1.18,1.5,Y,
2029,2,leaf,"crumpled leaf, dead leaf",2.35,2.29,Y,
2029,3,banana,old banana,1.9,1.13,Y,
2029,4,comb,comb,2.6,2.44,Y,
2029,5,tomato,tomato,1.65,1.61,Y,
2029,6,stick,old bamboo,3.6,3.17,Y,
2029,7,rock,brown rock,3.35,3.27,Y,
2029,8,fan,fan,2.25,2.52,Y,
2029,1,F1,dark 11,4.37,3.8,Y,
2029,2,F5,dark gold ,3.8,3.25,Y,
2029,3,B4,6,2.8,2.82,Y,
2029,4,B13,light 4,1.53,1.68,Y,
2029,5,H9,dark 5,1.48,2.2,Y,
2029,6,H7,7,2,2.03,Y,
2029,7,F9,leafy 5,3.09,3.26,Y,
2029,8,H17,8,1.88,2.13,Y,
2029,9,G4,dark 10,5.79,4.43,Y,
2029,10,F13,4,4.45,4.32,Y,
2029,11,D5,dark 6,2.3,2.12,Y,
2029,12,A16,2,4.79,5.04,Y,
2029,13,G14,4,3.7,3.67,Y,
2029,14,F17,8,2.18,2.09,Y,
2029,15,B1,11,5.34,5.07,Y,
2030,1,banana,banana,1.22,1.32,Y,
2030,2,cup,cup,1,1.13,Y,
2030,3,leaf,leaf,0.87,1.11,Y,
2030,4,stick,bamboo,2.18,2.21,Y,
2030,5,tomato,tomato,0.78,0.65,Y,
2030,6,comb,scraper,1.83,2.17,Y,
2030,7,fan,fan,0.8,1.13,Y,
2030,8,rock,rock,1.04,1.07,Y,
2030,1,B1,flesh,1.56,1.5,Y,
2030,2,F17,8,1.3,1.45,Y,
2030,3,G14,4,1.3,1.53,Y,
2030,4,A16,2,1.09,1.9,Y,
2030,5,D5,gold,1.01,0.95,Y,
2030,6,F13,teal,4.79,4.96,Y,
2030,7,G4,olive,1.04,0.87,Y,
2030,8,H17,8,1.72,1.98,Y,
2030,9,F9,5,0.97,0.99,Y,
2030,10,H7,1,1.3,1.34,Y,
2030,11,H9,forest 5,1.53,1.67,Y,
2030,12,B13,sky 4,2.04,1.95,Y,
2030,13,B4,6,1.23,1.04,Y,
2030,14,F5,brass,2.47,2.64,Y,
2030,15,F1,3,0.96,1.04,Y,
