subject,Language,thing,color,
12,English,yuca (outside),,
12,English,blood,3,
12,English,fire,6,
12,English,carrot,9,
12,English,tomato,3,
12,English,focal red,F1,
12,English,focal blue,G14,
12,English,focal green,F9,
12,English,focal yellow,B6,
12,English,focal grey,A14,
12,English,focal purple / violet,G18,
12,English,focal orange,C3,
12,English,focal brown,H5,
12,English,focal pink,D20,
13,English,cloud,2,
13,English,dirt,10,
13,English,grass / leaf,5,
13,English,hair,10,
13,English,teeth,2,
13,English,rice,2,
13,English,unripe bananas,5,
13,English,ripe banana,10,
13,English,sky,4,
13,English,corn,6,
13,English,yuca (inside),2,
13,English,yuca (outside),10,
13,English,blood,3,
13,English,fire,9,
13,English,carrot,9,
13,English,tomato,3,
13,English,focal red,F1,
13,English,focal blue,E14,
13,English,focal green,F9,
13,English,focal yellow,B6,
13,English,focal grey,A12,
13,English,focal purple / violet,H17,
13,English,focal orange,C3,
13,English,focal brown,H3,
13,English,focal pink,C19,
14,English,cloud,2,
14,English,dirt,10,
14,English,grass / leaf,5,
14,English,hair,10,
14,English,teeth,2,
14,English,rice,2,
14,English,unripe bananas,5,
14,English,ripe banana,6,
14,English,sky,4,
14,English,corn,6,
14,English,yuca (inside),?,
14,English,yuca (outside),?,
14,English,blood,3,
14,English,fire,3,
14,English,carrot,9,
14,English,tomato,3,
14,English,focal red,F1,
14,English,focal blue,G14,
14,English,focal green,E8,
14,English,focal yellow,B5,
14,English,focal grey,A13,
14,English,focal purple / violet,G17,
14,English,focal orange,C3,
14,English,focal brown,H3,
14,English,focal pink,C19,
15,English,cloud,2,
15,English,dirt,10,
15,English,grass / leaf,5,
15,English,hair,10,
15,English,teeth,2,
15,English,rice,2,
15,English,unripe bananas,5,
15,English,ripe banana,6,
15,English,sky,4,
15,English,corn,6,
15,English,yuca (inside),,
15,English,yuca (outside),,
15,English,blood,3,
15,English,fire,3,
15,English,carrot,9,
15,English,tomato,3,
15,English,focal red,F1,
15,English,focal blue,E14,
15,English,focal green,E8,
15,English,focal yellow,B5,
15,English,focal grey,H6,
15,English,focal purple / violet,H17,
15,English,focal orange,E2,
15,English,focal brown,G3,
15,English,focal pink,D20,
16,English,cloud,2,
16,English,dirt,10,
16,English,grass / leaf,5,
16,English,hair,10,
16,English,teeth,2,
16,English,rice,2,
16,English,unripe bananas,5,
16,English,ripe banana,6,
16,English,sky,4,
16,English,corn,6,
16,English,yuca (inside),,
16,English,yuca (outside),,
16,English,blood,3,
16,English,fire,3,
16,English,carrot,9,
16,English,tomato,3,
16,English,focal red,F1,
16,English,focal blue,G14,
16,English,focal green,F9,
16,English,focal yellow,B6,
16,English,focal grey,H5,
16,English,focal purple / violet,H16,
16,English,focal orange,C3,
16,English,focal brown,H3,
16,English,focal pink,F20,
17,English,cloud,2,
17,English,dirt,10,
17,English,grass / leaf,5,
17,English,hair,10,any color
17,English,teeth,6,
17,English,rice,2,
17,English,unripe bananas,5,
17,English,ripe banana,6,
17,English,sky,4,
17,English,corn,6,
17,English,yuca (inside),,
17,English,yuca (outside),,
17,English,blood,3,
17,English,fire,3,
17,English,carrot,9,
17,English,tomato,3,
17,English,focal red,F1,
17,English,focal blue,E14,
17,English,focal green,F9,
17,English,focal yellow,B6,
17,English,focal grey,A15,
17,English,focal purple / violet,G17,
17,English,focal orange,C3,
17,English,focal brown,H3,
17,English,focal pink,D20,
18,English,cloud,2,
18,English,dirt,10,
18,English,grass / leaf,5,
18,English,hair,1,
18,English,teeth,2,
18,English,rice,2,
18,English,unripe bananas,5,
18,English,ripe banana,6,
18,English,sky,4,
18,English,corn,6,
18,English,yuca (inside),,
18,English,yuca (outside),,
18,English,blood,3,
18,English,fire,3,
18,English,carrot,9,
18,English,tomato,3,
18,English,focal red,F1,
18,English,focal blue,E13,
18,English,focal green,D8,
18,English,focal yellow,B6,
18,English,focal grey,A13,
18,English,focal purple / violet,F17,
18,English,focal orange,D3,
18,English,focal brown,G3,
18,English,focal pink,D20,
19,English,cloud,2,
19,English,dirt,10,
19,English,grass / leaf,5,
19,English,hair,10,
19,English,teeth,2,
19,English,rice,2,
19,English,unripe bananas,5,
19,English,ripe banana,6,
19,English,sky,4,
19,English,corn,6,
19,English,yuca (inside),,
19,English,yuca (outside),,
19,English,blood,3,
19,English,fire,9,
19,English,carrot,9,
19,English,tomato,3,
19,English,focal red,F1,
19,English,focal blue,G15,
19,English,focal green,E8,
19,English,focal yellow,B5,
19,English,focal grey,A13,
19,English,focal purple / violet,F17,
19,English,focal orange,E2,
19,English,focal brown,G4,
19,English,focal pink,C1,
20,English,cloud,2,
20,English,dirt,10,
20,English,grass / leaf,5,
20,English,hair,10,
20,English,teeth,2,
20,English,rice,2,
20,English,unripe bananas,5,
20,English,ripe banana,6,
20,English,sky,4,
20,English,corn,6,
20,English,yuca (inside),,
20,English,yuca (outside),,
20,English,blood,3,
20,English,fire,9,
20,English,carrot,9,
20,English,tomato,3,
20,English,focal red,F1,
20,English,focal blue,F13,
20,English,focal green,E8,
20,English,focal yellow,B6,
20,English,focal grey,A11,
20,English,focal purple / violet,H16,
20,English,focal orange,E2,
20,English,focal brown,H5,
20,English,focal pink,E20,
21,English,cloud,2,
21,English,dirt,10,
21,English,grass / leaf,5,
21,English,hair,DEPENDS,
21,English,teeth,2,
21,English,rice,"2,10,1",
21,English,unripe bananas,5,
21,English,ripe banana,6,
21,English,sky,4,
21,English,corn,6,
21,English,yuca (inside),,
21,English,yuca (outside),,
21,English,blood,3,
21,English,fire,3,
21,English,carrot,9,
21,English,tomato,3,
21,English,focal red,F1,
21,English,focal blue,E14,
21,English,focal green,E8,
21,English,focal yellow,B5,
21,English,focal grey,A14,
21,English,focal purple / violet,G17,
21,English,focal orange,E2,
21,English,focal brown,H4,
21,English,focal pink,D20,
22,English,cloud,2,
22,English,dirt,10,
22,English,grass / leaf,5,
22,English,hair,10,
22,English,teeth,2,
22,English,rice,2,
22,English,unripe bananas,5,
22,English,ripe banana,6,
22,English,sky,4,
22,English,corn,6,
22,English,yuca (inside),,
22,English,yuca (outside),,
22,English,blood,3,
22,English,fire,9,
22,English,carrot,9,
22,English,tomato,3,
22,English,focal red,F1,
22,English,focal blue,E14,
22,English,focal green,E8,
22,English,focal yellow,B5,
22,English,focal grey,A13,
22,English,focal purple / violet,G17,
22,English,focal orange,D3,
22,English,focal brown,H3,
22,English,focal pink,D20,
23,English,cloud,2,
23,English,dirt,10,
23,English,grass / leaf,5,
23,English,hair,10,
23,English,teeth,6,
23,English,rice,2,
23,English,unripe bananas,5,
23,English,ripe banana,6,
23,English,sky,4,
23,English,corn,6,
23,English,yuca (inside),,
23,English,yuca (outside),,
23,English,blood,3,
23,English,fire,9,
23,English,carrot,9,
23,English,tomato,3,
23,English,focal red,F1,
23,English,focal blue,F15,
23,English,focal green,E8,
23,English,focal yellow,B5,
23,English,focal grey,A15,
23,English,focal purple / violet,H17,
23,English,focal orange,C3,
23,English,focal brown,G3,
23,English,focal pink,C1,
24,English,cloud,2,
24,English,dirt,10,
24,English,grass / leaf,5,
24,English,hair,VARIES,
24,English,teeth,2,
24,English,rice,2,
24,English,unripe bananas,5,
24,English,ripe banana,6,
24,English,sky,4,
24,English,corn,6,
24,English,yuca (inside),,
24,English,yuca (outside),,
24,English,blood,3,
24,English,fire,9,
24,English,carrot,9,
24,English,tomato,3,
24,English,focal red,F1,
24,English,focal blue,G14,
24,English,focal green,G9,
24,English,focal yellow,B4,
24,English,focal grey,H6,
24,English,focal purple / violet,H16,
24,English,focal orange,E2,
24,English,focal brown,H3,
24,English,focal pink,D20,
25,English,cloud,2,
25,English,dirt,1,
25,English,grass / leaf,5,
25,English,hair,ANY COLOR,
25,English,teeth,2,
25,English,rice,2,
25,English,unripe bananas,5,
25,English,ripe banana,6,
25,English,sky,4,
25,English,corn,6,
25,English,yuca (inside),,
25,English,yuca (outside),,
25,English,blood,3,
25,English,fire,DEPENDS,
25,English,carrot,9,
25,English,tomato,3,
25,English,focal red,F1,
25,English,focal blue,E14,
25,English,focal green,E9,
25,English,focal yellow,B5,
25,English,focal grey,A4,
25,English,focal purple / violet,E18,
25,English,focal orange,C3,
25,English,focal brown,H3,
25,English,focal pink,D1,
26,English,cloud,2,
26,English,dirt,10,
26,English,grass / leaf,5,
26,English,hair,10,
26,English,teeth,2,
26,English,rice,2,
26,English,unripe bananas,5,
26,English,ripe banana,6,
26,English,sky,4,
26,English,corn,6,
26,English,yuca (inside),,
26,English,yuca (outside),,
26,English,blood,3,
26,English,fire,9,
26,English,carrot,9,
26,English,tomato,3,
26,English,focal red,F1,
26,English,focal blue,F14,
26,English,focal green,F9,
26,English,focal yellow,C6,
26,English,focal grey,H7,
26,English,focal purple / violet,H16,
26,English,focal orange,D3,
26,English,focal brown,G3,
26,English,focal pink,B20,
27,English,cloud,2,
27,English,dirt,10,
27,English,grass / leaf,5,
27,English,hair,10,
27,English,teeth,2,
27,English,rice,2,
27,English,unripe bananas,5,
27,English,ripe banana,6,
27,English,sky,4,
27,English,corn,6,
27,English,yuca (inside),,
27,English,yuca (outside),,
27,English,blood,3,
27,English,fire,9,
27,English,carrot,9,
27,English,tomato,3,
27,English,focal red,F1,
27,English,focal blue,G15,
27,English,focal green,E8,
27,English,focal yellow,B6,
27,English,focal grey,H6,
27,English,focal purple / violet,G17,
27,English,focal orange,E2,
